CustomerID,Region,Age,Plan,DeviceType,CustomerSegment,TenureMonths,MonthlyDataGB,MonthlyVoiceMins,MonthlySMSCount,MonthlyMpesaTransactions,MonthlySpendKES,HasMpesa,HasSafaricomHome,HasShowmax,HasInternationalRoaming,NumServices,CustomerServiceCalls,NetworkComplaints,UnresolvedComplaints,NetworkQualityScore,DaysSinceLastTopup,ContractMonths,Churned
SAF000001,Mombasa,50,Prepaid,Smartphone,Consumer,86,1.36,102.0,14.0,1.0,854.0,1,0,1,0,2,1,0,0,8.3,7.0,0,0
SAF000002,Meru,49,Prepaid,Smartphone,SME,2,0.23,143.0,96.0,0.0,674.0,1,1,0,0,2,3,0,0,8.0,22.0,0,0
SAF000003,Eldoret,26,Postpaid,Smartphone,SME,4,0.64,64.0,4.0,28.0,418.0,1,0,1,0,2,3,0,0,9.2,1.0,12,0
SAF000004,Kisumu,28,Prepaid,Smartphone,Consumer,45,1.85,240.0,88.0,4.0,1089.0,1,0,1,1,3,0,1,1,9.9,1.0,0,0
SAF000005,Nairobi,54,Postpaid,Smartphone,Consumer,13,2.53,45.0,0.0,4.0,927.0,1,0,0,0,1,1,0,0,8.8,1.0,12,0
SAF000006,Nairobi,23,Prepaid,Tablet,Consumer,55,0.86,39.0,30.0,0.0,558.0,1,0,1,0,2,0,0,0,,2.0,0,0
SAF000007,Nairobi,47,Postpaid,Smartphone,Consumer,32,4.62,43.0,16.0,1.0,776.0,1,0,1,0,2,1,1,0,6.3,0.0,36,0
SAF000008,Machakos,57,Postpaid,Smartphone,SME,22,3.12,179.0,22.0,23.0,1274.0,1,0,0,0,1,3,0,0,8.4,3.0,36,0
SAF000009,Nakuru,32,Prepaid,Feature Phone,Consumer,89,4.12,82.0,23.0,9.0,954.0,1,1,1,1,4,1,0,0,8.9,2.0,0,0
SAF000010,Eldoret,47,Prepaid,Feature Phone,Consumer,91,4.62,92.0,42.0,4.0,1231.0,1,0,1,0,2,2,1,0,6.5,2.0,0,0
SAF000011,Nairobi,35,Prepaid,Tablet,Consumer,55,,214.0,1.0,19.0,1373.0,1,0,0,0,1,3,2,0,6.7,2.0,0,0
SAF000012,Meru,29,Postpaid,Feature Phone,Consumer,17,9.63,215.0,47.0,7.0,2055.0,1,0,1,0,2,3,0,0,8.8,7.0,24,0
SAF000013,Thika,21,Prepaid,Tablet,Youth,70,0.95,21.0,1.0,11.0,344.0,1,0,0,0,1,1,0,0,2.8,8.0,0,1
SAF000014,Nairobi,33,Postpaid,Smartphone,Consumer,107,1.1,96.0,8.0,5.0,637.0,1,0,1,0,2,3,2,1,7.9,18.0,12,0
SAF000015,Nairobi,40,Prepaid,Smartphone,Enterprise,51,0.35,16.0,37.0,5.0,355.0,0,0,0,0,0,1,0,0,5.9,2.0,0,0
SAF000016,Nairobi,28,Prepaid,Smartphone,Enterprise,80,3.14,243.0,4.0,1.0,1247.0,1,0,0,0,1,1,2,0,5.8,1.0,0,0
SAF000017,Nairobi,41,Prepaid,Smartphone,Consumer,8,1.76,218.0,188.0,11.0,1202.0,1,0,1,0,2,1,0,0,5.8,0.0,0,0
SAF000018,Kisumu,39,Prepaid,Smartphone,SME,61,2.4,227.0,61.0,1.0,1202.0,1,0,0,0,1,2,0,0,4.5,5.0,0,0
SAF000019,Mombasa,56,Prepaid,Smartphone,Consumer,97,0.65,146.0,49.0,12.0,803.0,1,0,0,0,1,0,0,0,6.6,7.0,0,0
SAF000020,Nairobi,32,Postpaid,Smartphone,SME,10,3.66,75.0,12.0,2.0,1080.0,1,1,0,0,2,2,1,0,8.2,2.0,24,0
SAF000021,Nakuru,32,Postpaid,Smartphone,Consumer,98,3.38,62.0,2.0,2.0,864.0,1,0,0,0,1,1,1,0,5.7,8.0,12,1
SAF000022,Nairobi,27,Prepaid,Smartphone,Enterprise,19,1.08,60.0,154.0,20.0,534.0,1,0,0,0,1,2,1,0,7.2,1.0,0,1
SAF000023,Nairobi,45,Hybrid,Tablet,Consumer,14,2.19,8.0,6.0,5.0,619.0,1,0,1,0,2,1,0,0,5.2,2.0,0,0
SAF000024,Mombasa,53,Postpaid,Smartphone,SME,67,7.87,357.0,71.0,1.0,2412.0,1,0,0,0,1,4,0,0,4.1,8.0,24,0
SAF000025,Mombasa,34,Hybrid,Feature Phone,Consumer,55,5.2,72.0,9.0,19.0,1258.0,1,0,0,0,1,0,0,0,2.2,22.0,0,1
SAF000026,Thika,53,Prepaid,Smartphone,Enterprise,61,0.9,319.0,19.0,5.0,1056.0,1,0,1,1,3,0,0,0,7.4,16.0,0,0
SAF000027,Nairobi,39,Prepaid,Tablet,Consumer,56,7.39,254.0,47.0,1.0,2071.0,1,0,0,0,1,3,0,0,8.4,0.0,0,0
SAF000028,Kisumu,40,Prepaid,Tablet,SME,63,0.24,212.0,116.0,4.0,914.0,1,0,0,0,1,2,1,0,7.6,28.0,0,1
SAF000029,Kisumu,46,Postpaid,Feature Phone,Consumer,105,1.87,106.0,1.0,7.0,804.0,1,0,1,0,2,1,0,0,5.0,3.0,12,0
SAF000030,Nairobi,39,Prepaid,Feature Phone,Consumer,87,0.29,13.0,12.0,4.0,211.0,1,0,1,0,2,1,0,0,9.3,6.0,0,0
SAF000031,Nakuru,28,Prepaid,Smartphone,SME,104,9.03,47.0,58.0,21.0,1542.0,1,0,1,0,2,2,1,0,8.1,3.0,0,0
SAF000032,Nairobi,53,Prepaid,Dongle,Youth,11,0.15,111.0,8.0,3.0,372.0,1,0,0,0,1,3,2,0,8.6,12.0,0,0
SAF000033,Nairobi,61,Prepaid,Tablet,Consumer,47,0.57,2.0,5.0,2.0,384.0,1,0,0,0,1,0,1,0,8.5,8.0,0,0
SAF000034,Meru,46,Postpaid,Tablet,Youth,6,8.63,5.0,2.0,2.0,1680.0,1,0,0,0,1,2,1,0,8.0,15.0,24,0
SAF000035,Meru,59,Prepaid,Feature Phone,SME,34,3.05,136.0,28.0,1.0,1104.0,1,1,0,1,3,2,2,0,6.6,2.0,0,0
SAF000036,Thika,49,Prepaid,Smartphone,Enterprise,65,5.55,263.0,58.0,5.0,1625.0,1,1,0,0,2,2,0,0,5.8,7.0,0,0
SAF000037,Nairobi,31,Postpaid,Tablet,Consumer,99,0.1,232.0,131.0,17.0,922.0,1,1,0,1,3,1,0,0,7.7,5.0,12,0
SAF000038,Nairobi,35,Hybrid,Smartphone,Consumer,89,1.9,22.0,12.0,3.0,581.0,1,1,1,0,3,0,0,0,6.1,6.0,0,0
SAF000039,Nakuru,55,Postpaid,Smartphone,Enterprise,64,14.58,291.0,5.0,2.0,3124.0,1,1,1,0,3,0,0,0,7.3,3.0,24,0
